SaleID,CustomerID,ProductID,TotalAmount,SaleDate
865,48,40,275.06,2024-09-28
505,48,20,132.03,2025-02-03
570,48,19,267.16,2025-05-25
893,48,25,1550.68,2024-09-06
954,48,21,1662.24,2024-07-23
618,48,15,55.59,2024-07-15
784,48,22,443.3,2025-01-21
428,48,43,551.25,2025-02-22
664,48,34,257.64,2025-02-07
685,48,29,85.51,2024-08-04
609,48,36,113.71,2025-06-05
376,48,28,639.32,2024-06-26
115,31,11,761.22,2025-02-19
333,31,46,254.16,2024-07-07
543,31,7,606.0,2025-02-06
634,31,46,254.16,2025-04-22
918,31,20,88.02,2025-04-27
41,31,18,1464.88,2024-09-17
80,31,17,1215.36,2025-05-17
23,31,37,422.21,2025-05-11
434,31,24,27.68,2025-02-13
617,31,25,387.67,2025-06-03
628,31,20,44.01,2025-06-13
646,31,47,271.79,2025-05-13
703,31,32,306.52,2024-08-05
908,31,14,478.82,2024-10-08
391,31,25,1938.35,2025-02-19
947,31,36,341.13,2024-12-02
259,98,45,151.44,2025-02-17
286,98,14,957.64,2024-07-14
953,98,21,831.12,2025-03-03
762,98,26,1285.14,2024-08-16
548,98,38,473.52,2025-05-13
622,98,46,508.32,2024-06-17
751,98,11,1522.44,2024-07-21
970,98,1,69.52,2025-01-03
18,98,11,1903.05,2025-06-05
940,98,38,591.9,2024-12-04
491,98,18,1831.1,2025-03-02
262,98,34,429.4,2025-06-02
320,98,36,113.71,2025-04-08
933,32,17,607.68,2024-08-19
988,32,45,151.44,2025-06-07
169,32,8,413.68,2025-06-11
238,32,49,810.8,2025-03-06
567,32,46,508.32,2024-06-18
746,32,10,296.69,2024-11-10
911,32,48,217.07,2025-04-15
75,32,38,591.9,2025-02-11
824,32,4,240.15,2024-09-13
945,32,45,378.6,2024-09-05
441,32,9,1063.3,2025-04-23
807,32,18,1831.1,2024-11-25
377,32,34,343.52,2024-10-07
535,32,28,1598.3,2024-06-29
213,20,16,105.74,2024-11-11
594,20,11,761.22,2025-04-14
65,20,13,427.65,2024-09-22
95,20,18,1098.66,2024-07-30
589,20,5,62.19,2024-10-16
877,20,11,1141.83,2025-01-29
183,20,15,222.36,2024-06-15
577,20,22,443.3,2025-03-16
277,20,10,1483.45,2025-04-27
551,20,29,85.51,2025-06-12
348,20,29,427.55,2025-04-12
398,78,23,581.58,2024-12-09
96,78,14,1436.46,2025-01-18
740,78,10,890.07,2024-06-25
193,78,15,222.36,2025-04-30
396,78,48,868.28,2025-06-04
463,78,10,296.69,2024-06-27
545,78,10,296.69,2025-05-10
308,78,17,303.84,2025-05-09
777,78,33,538.8,2025-03-25
133,78,33,269.4,2024-07-23
29,78,28,639.32,2025-05-31
102,82,17,607.68,2024-10-30
714,82,38,236.76,2025-01-28
643,82,25,1163.01,2024-09-26
269,82,49,810.8,2024-09-26
630,82,40,550.12,2025-06-05
675,82,4,48.03,2024-09-04
399,82,13,712.75,2025-04-27
465,82,38,591.9,2024-11-26
177,82,18,1831.1,2025-04-18
16,82,33,1347.0,2025-01-13
388,82,28,958.98,2025-01-16
621,37,31,704.8,2024-11-06
153,66,31,704.8,2024-07-07
602,40,31,704.8,2024-10-30
651,90,31,704.8,2025-02-25
790,75,31,704.8,2024-11-11
806,79,31,704.8,2025-03-06
819,96,31,704.8,2024-09-17
941,28,31,704.8,2024-08-30
750,93,21,831.12,2025-02-27
13,93,47,815.37,2024-11-07
485,93,4,144.09,2025-06-08
197,93,11,1522.44,2025-02-27
362,93,10,1186.76,2024-11-24
471,93,14,1915.28,2024-08-26
885,93,2,504.88,2025-03-23
786,93,45,75.72,2024-07-21
858,93,37,422.21,2025-04-29
43,93,37,2111.05,2024-10-05
141,93,20,220.05,2024-12-13
263,37,7,606.0,2025-02-12
397,37,50,997.36,2025-01-07
611,37,6,226.46,2024-07-17
293,37,46,381.24,2024-12-29
88,37,11,1522.44,2024-07-02
271,37,31,1409.6,2024-10-02
319,37,43,441.0,2025-05-09
557,37,5,20.73,2025-05-15
658,37,23,290.79,2025-04-11
576,37,17,1519.2,2024-10-11
813,37,8,517.1,2024-09-21
389,59,20,88.02,2024-10-15
504,59,22,886.6,2024-06-25
755,59,16,105.74,2024-10-09
321,59,6,339.69,2024-06-28
965,59,11,1141.83,2025-05-21
62,59,19,267.16,2024-06-25
82,59,21,415.56,2024-10-25
384,59,17,303.84,2024-12-05
883,59,37,422.21,2025-06-11
974,59,24,27.68,2024-09-13
972,9,46,254.16,2024-10-07
87,9,16,158.61,2024-10-23
125,9,50,1496.04,2025-04-25
370,9,16,158.61,2024-07-02
5,9,25,1550.68,2024-07-19
344,9,18,1464.88,2024-06-21
631,9,8,413.68,2024-07-15
707,9,20,176.04,2024-12-11
35,9,22,443.3,2025-04-01
478,9,6,113.23,2024-10-28
574,9,22,443.3,2025-05-10
25,9,49,1013.5,2024-09-17
544,33,13,285.1,2024-06-21
886,33,1,34.76,2024-12-03
985,33,23,872.37,2024-10-09
207,33,6,452.92,2024-07-03
608,33,4,192.12,2024-07-31
963,33,49,810.8,2024-11-16
322,33,21,415.56,2025-02-24
447,33,12,350.58,2025-04-25
644,33,48,217.07,2025-02-20
721,33,13,712.75,2025-04-07
101,43,50,997.36,2024-09-04
156,43,6,226.46,2024-10-06
255,43,23,1163.16,2025-05-24
827,43,46,508.32,2025-04-11
841,43,19,267.16,2024-12-18
960,43,15,222.36,2024-12-28
128,43,2,126.22,2024-10-25
483,43,43,110.25,2025-04-28
942,43,20,44.01,2025-06-09
40,43,5,103.65,2025-06-02
857,43,20,220.05,2024-07-13
2,12,49,202.7,2025-04-25
63,90,47,1358.95,2025-02-23
116,53,2,252.44,2024-08-26
3,15,10,593.38,2024-07-12
14,65,49,405.4,2024-11-02
26,99,9,425.32,2025-05-20
30,70,49,405.4,2024-11-17
34,16,16,105.74,2025-01-13
51,14,16,105.74,2025-03-30
57,2,6,226.46,2024-12-28
114,80,48,434.14,2025-06-09
118,86,48,434.14,2024-09-06
122,45,20,88.02,2025-04-12
123,29,2,252.44,2025-02-07
134,50,37,844.42,2025-05-15
137,88,47,543.58,2024-08-17
144,71,9,425.32,2024-10-15
146,87,48,434.14,2024-10-03
149,39,19,133.58,2025-01-18
157,87,20,88.02,2024-09-20
163,64,26,856.76,2024-07-11
176,34,49,405.4,2024-12-10
178,63,41,914.0,2025-01-23
180,92,19,133.58,2024-12-31
182,70,6,226.46,2024-11-22
184,89,10,593.38,2024-09-14
187,54,4,96.06,2024-08-19
209,7,23,581.58,2024-07-03
211,97,2,252.44,2024-08-21
222,51,46,254.16,2024-09-02
223,10,38,236.76,2024-12-11
236,35,21,831.12,2025-05-16
257,30,8,206.84,2025-06-09
268,71,19,133.58,2024-07-08
272,57,22,886.6,2025-01-30
278,39,6,226.46,2025-01-04
288,21,16,105.74,2024-08-28
289,71,5,41.46,2024-12-20
296,81,38,236.76,2025-04-18
317,86,7,606.0,2025-02-06
342,19,25,775.34,2025-03-05
352,25,45,151.44,2025-02-11
353,74,25,775.34,2024-10-18
382,75,10,593.38,2025-03-30
403,75,24,55.36,2025-01-21
411,19,49,405.4,2025-01-14
429,54,38,236.76,2025-02-28
437,51,18,732.44,2024-11-25
443,27,38,236.76,2024-07-17
444,30,22,886.6,2025-03-25
448,85,2,252.44,2025-01-26
449,2,23,581.58,2025-01-20
507,11,4,96.06,2024-09-14
512,54,18,732.44,2025-04-01
519,27,20,88.02,2024-11-30
524,69,46,254.16,2024-07-13
532,3,21,831.12,2024-10-05
538,29,22,886.6,2024-10-05
561,58,37,844.42,2025-04-03
578,75,43,220.5,2024-10-31
582,83,22,886.6,2024-07-26
586,47,20,88.02,2025-04-23
588,25,15,111.18,2024-11-30
598,87,47,543.58,2025-03-22
636,79,23,581.58,2024-07-28
649,70,22,886.6,2024-08-26
653,5,19,133.58,2025-02-18
662,50,22,886.6,2024-12-29
680,17,5,41.46,2025-06-12
688,84,18,732.44,2024-08-09
689,15,2,252.44,2024-09-08
694,89,32,613.04,2025-04-17
700,39,11,761.22,2025-04-09
702,16,13,285.1,2024-12-10
710,74,5,41.46,2025-01-24
725,76,38,236.76,2024-11-21
737,89,4,96.06,2025-03-29
771,72,24,55.36,2025-01-05
792,100,25,775.34,2025-05-03
797,53,45,151.44,2024-11-12
803,49,21,831.12,2024-10-06
809,99,19,133.58,2024-08-19
815,51,23,581.58,2024-11-19
823,95,38,236.76,2024-07-07
825,29,41,914.0,2024-07-15
844,60,18,732.44,2025-03-26
845,15,22,886.6,2024-11-14
855,34,25,775.34,2025-01-03
870,86,14,957.64,2025-01-08
891,53,12,701.16,2024-09-29
928,61,16,105.74,2024-10-07
929,39,46,254.16,2024-07-18
936,69,47,543.58,2024-12-14
939,6,5,41.46,2025-04-15
955,6,37,844.42,2024-10-31
959,38,10,593.38,2024-09-18
971,18,41,914.0,2024-08-08
983,68,10,593.38,2024-09-22
997,6,15,111.18,2024-07-26
15,65,7,909.0,2024-10-14
17,26,10,890.07,2025-01-05
21,3,8,310.26,2024-10-07
50,8,26,1285.14,2024-10-12
61,1,25,1163.01,2025-05-29
79,34,14,1436.46,2024-06-15
81,17,43,330.75,2024-09-25
86,34,9,637.98,2025-03-30
89,70,46,381.24,2024-07-06
98,65,32,919.56,2024-11-27
112,86,7,909.0,2025-04-27
124,52,22,1329.9,2024-12-31
143,42,26,1285.14,2024-10-16
147,79,37,1266.63,2025-03-26
154,85,6,339.69,2024-11-18
